post_text,sentiment_label,predicted_label,topic_category,manual_audit_correct_label,notes
@user @user @user Gay marriage is here today but don't think for a moment it can't disappear tomorrow.,Neutral,Negative,Technical_Issues,model_right,
It's NFL kickoff but you don't like Tom Brady so come to @user and my show next Thursday 9/10@7pm! Get tix,Neutral,Positive,Community_Discussion,ambiguous,
"""Naruto is like crack. I keep saying saying one more episode, until """"Oh look, the sun."""" #NARUTO""",Positive,Neutral,Community_Discussion,label_right,
"""Wow, walk off win for the Cubs.....Kris Bryant HR with 2 outs in the bottom of the 9th inning""",Positive,Neutral,Community_Discussion,label_right,
Jesus Shuttlesworth Heat Vs Lakers Ralph McQuarrie #top100femalelies Is Lamar Odom really going to the D League ?http://t.co/Mz75m6JH,Neutral,Positive,Community_Discussion,label_right,
So tired of Chelsea and their mind games with Costa injuries. Watch him start and play 90 minutes tomorrow.,Negative,Neutral,Community_Discussion,label_right,
"@user Dark Souls is pretty much near the bottom of the list for me to finish, along with many MANY RPGs,gotta get thru short ones 1st""",Negative,Neutral,Community_Discussion,label_right,
Soccer Saturday with our son. They\u2019re playing the hardest team in the league. Then the All-star game. #proudparents,Positive,Neutral,Community_Discussion,label_right,
The crisis b/w Turkey &amp; Russia may be the proximate cause for Ankara for renewal of ties with Israel @user,Neutral,Negative,Community_Discussion,label_right,
"""Chris Archer (TB): 4th Rays pitcher with 200 strikeouts in a season (joins Scott Kazmir, David Price &amp; James Shields)""",Positive,Neutral,Community_Discussion,label_right,
1st half of Hannity: rage at the supreme court for outlawing Jesus with its gay marriage decision. 2nd half: kissing Ted Olson's ass.,Negative,Neutral,Community_Discussion,label_right,
@user Hellyeaa ahaha\u002c One of the 1st streets on Niggas !,Positive,Neutral,Community_Discussion,label_right,
It's not really a Sunday until you've listened to some frank ocean,Positive,Negative,Community_Discussion,label_right,
"And @user Mail, Calendar, Music, and Video apps have been rewritten for the third time in four years...",Negative,Neutral,Technical_Issues,label_right,
One for your diary. We have reindeer's coming to the garden centre on Saturday the 8th of December.,Neutral,Positive,Community_Discussion,ambiguous,
"""Ed Sheeran s """"X"""" returns to the top of the World Album Charts for the 3rd time",Positive,Neutral,Community_Discussion,ambiguous,
"""Still yet unanswered, are the SATs still on for Saturday?""",Negative,Neutral,Community_Discussion,ambiguous,
"""See what Max Hastings was trying2say with 'Boris Bikes' comment, just wish he'd said 'Cycle Super Highways' instead!",Positive,Negative,Community_Discussion,model_right,
Come and watch the future Bees this Saturday as the Youth Team take on Leeds United at Jersey Road at 11am.  Then...,Positive,Neutral,Community_Discussion,label_right,
And with Serena's 11th ace she wins the match vs her sister Venus,Positive,Neutral,Community_Discussion,label_right,
"Who would you rather have as a 5th Member: Michelle Obama, an Ewok or The Sneezing Panda. #iHeart5SOS",Neutral,Negative,Community_Discussion,label_right,
John Kasich may be the only Republican Presidential candidate who I feel like wouldn't completely ruin America if elected.,Positive,Negative,Feature_Feedback,ambiguous,
Special Notice for lefties who try to watch the best show on TV\u002c Justified.  (2nd try melts tv),Negative,Positive,Community_Discussion,model_right,
"""Everyone came to the VMAs looking boring or like trash (from what I see so far), and then Nicki showed up looking like a sun goddess.""",Neutral,Negative,Community_Discussion,ambiguous,
@user What a shame about Punchestown. Unlikely to race at all tomorrow. I had 2 out as well in Quevega and Lietenant (2 miler!!!),Negative,Neutral,Community_Discussion,label_right,
For some reason I always thought National Hot Dog Day was on the 4th of July. #learnsomethingneweveryday,Neutral,Positive,Community_Discussion,label_right,
Wilshere didn't play for Arsenal on Saturday and most papers report he's 'doubtful' for Newcastle. Why would there be an England 'row' ?,Neutral,Negative,Community_Discussion,label_right,
@user yeah. I've always said Milan is being run as if it was a 3rd world country. Can't say Galliani is the main issue tho.,Negative,Positive,Community_Discussion,label_right,
@user well then you need to take Kendrick Lamar off cause his last album wasn't good you probably just going off of Black Friday ....,Negative,Positive,Community_Discussion,label_right,
@user 3 tickets all seated together on the halfway line for Arsenal v Hull tomorrow please DM me,Positive,Neutral,Community_Discussion,label_right,
Katy Perry was all smiles&amp;#160;when she&amp;#160;headed out for a Broadway show Wednesday night in New York City.&amp;#160; The singer wore a,Positive,Neutral,Community_Discussion,label_right,
