True,Predicted,Confidence,Text
Neutral,Positive,0.7903,should ve went to watch paper towns first i ll just go see it tomorrow
Neutral,Positive,0.7794,national hot dog day is saturday capitalgmc saturday see you there
Positive,Neutral,0.7706,josh hamilton hit a two run homer in 2011 ws in the 10th with a sports hernia if anyone with any decent fielding skills 
Neutral,Negative,0.7689,there can be no tolerance of those who question the dignity of other people angela merkel stood up to be counted
Neutral,Negative,0.7647,if it weren t for christians the aztecs would never have stopped killing babies like planned parenthood does
Neutral,Negative,0.7636,you may not put bumpers stickers on a bentley you also don t let a shit load a people drive it either if you get my drif
Neutral,Negative,0.7594,every human being is born with innate tendencies towards monotheism later in life his parent may turn him to other relig
Neutral,Negative,0.7573,mansbridge interview with trudeau may not have been a classic but i did find justin believable and i dont feel like i ne
Neutral,Negative,0.754,when kanye west told george bush that black lives matter as much as i may not like him it was the truth
Neutral,Positive,0.7536,rt rt if you love the song called last night on earth by green day indowantsgreenday
Positive,Negative,0.7425,i wanna party with justin and get really drunk then fuck like theres no tomorrow
Neutral,Negative,0.7406,just remember michelle obama told barack obama she may not vote for him for senate just because she didn t want him in p
Positive,Negative,0.74,she may be my favorite libertarian writer right now her response to the planned parenthood controversy was on point
Neutral,Negative,0.7334,it was just a man that executed a texas deputy if i may seems a black and gay man can be outed when
Positive,Negative,0.7316,with this sweet and sudden u turn frin israel don t we all understand how the term doenmeah was coined in the 1st place
Neutral,Negative,0.7285,northern elders ask dasuki not to go to court so as not to reveal the activities of boko haram sponsors enjoy
Neutral,Positive,0.7259,dj khaled hold you down ft chris brown august alsina future jeremih
Negative,Neutral,0.7249,d j king suffered broken right hand in fight with krys barch oct 24 2009 stlblues vs dallas stars missed 3 months
Positive,Negative,0.7242,have y all ever just sat and listened to frank ocean s crack rock the shit is mad deep
Neutral,Negative,0.719,with the federal budget deal signed into law people 70 may be able to make large charitable gifts from an ira
