Text Snippet,True Label,Predicted,Error Category
"""Rodgers just confirmed that both Allen and Can are fit, and will be back in the squad for...",Positive,Neutral,Ambiguous boundary (Positive ≈ Neutral)
"""He then said """"Kendrick Lamar will be the a huge rapper"""". He may be a genius""",Positive,Negative,Overly negative framing detected
Sending troops to Iraq may be a dangerous game for Turkey: Ankara's dispute with the feder...,Neutral,Negative,Weak negative signal misread as Neutral
@user headlines are that Murray lose to an UNKNOWN Anderson. The guy is ranked 14th in the...,Neutral,Negative,Weak negative signal misread as Neutral
Holy shit. Rebecca black donated all her earnings from Friday to help the Japan Earthquake...,Positive,Negative,Overly negative framing detected
Just remember Michelle Obama told Barack Obama she may not vote for him for senate just be...,Neutral,Negative,Negation handling failure
"""Obama signed a law TODAY making gifts of up to $100,000 from an IRA tax-free again. If yo...",Positive,Negative,Overly negative framing detected
#HelloKarachi #EidMubarak Which #Food would you prefer to eat on Eid 3rd Day?,Neutral,Positive,Weak positive signal misread as Neutral
@user oh snap. You guys know who @user is? I'll have to meet the Big Brother fan who runs ...,Positive,Neutral,Ambiguous boundary (Positive ≈ Neutral)
Sunday morning up at the lark a think I'll take a bomb to Hyde park hey hey hey it's the I...,Negative,Positive,Missed negation / sarcasm
"""This #GOP race is seriously getting out of hand. Who in the blue heck is John Kasich? Or ...",Negative,Neutral,Ambiguous boundary (Negative ≈ Neutral)
I am looking for to the release of Go Set a Watchman tomorrow by Harper Lee . I am NOT hap...,Neutral,Positive,Negation handling failure
@user I see a bit of Christian in him\u002c at 1st I wnt him for the role until I saw Matt...,Positive,Neutral,Ambiguous boundary (Positive ≈ Neutral)
"""\""""""""@Peter_Owen1: Bulls season tips off Wednesday night vs Sacramento Kings. Excited is ...",Negative,Positive,Negation handling failure
@user @user LeBlanc was nominated for an Emmy and won a Golden Globe\u002c so that may hav...,Neutral,Negative,Weak negative signal misread as Neutral
@user yeah. I've always said Milan is being run as if it was a 3rd world country. Can't sa...,Negative,Positive,Negation handling failure
"""Aaron Rodgers: good in the 4th Qtr, but too cautious overall?",Neutral,Positive,Weak positive signal misread as Neutral
Get your sweat suits! It\u2019s November and its time to lax! Practice tonight\u002c game ...,Positive,Neutral,Ambiguous boundary (Positive ≈ Neutral)
@user I'm thinking Dustin Johnson should get the 4th spot in the #GrandSlamofGolf,Positive,Neutral,Ambiguous boundary (Positive ≈ Neutral)
"""if Twilight wins all the awards at the TCA's tonight, I will burn my Twilight posters k? ...",Negative,Positive,Missed negation / sarcasm
